State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,Standard_Crop,Parsed_Date
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),31-05-2021,15.0,Metric Tonnes,2396.67,Rs./Quintal,Bajra,2021-05-31
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-06-2021,13.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-06-01
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-06-2021,13.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-06-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-06-2021,17.0,Metric Tonnes,2291.18,Rs./Quintal,Bajra,2021-06-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-06-2021,15.0,Metric Tonnes,2396.67,Rs./Quintal,Bajra,2021-06-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-06-2021,13.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-06-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-06-2021,3.0,Metric Tonnes,1341.67,Rs./Quintal,Bajra,2021-06-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-06-2021,18.0,Metric Tonnes,2283.33,Rs./Quintal,Bajra,2021-06-07
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),08-06-2021,15.0,Metric Tonnes,2480.0,Rs./Quintal,Bajra,2021-06-08
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-06-2021,16.0,Metric Tonnes,2568.75,Rs./Quintal,Bajra,2021-06-09
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-06-2021,16.0,Metric Tonnes,2490.63,Rs./Quintal,Bajra,2021-06-10
