State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-02-2021,6.0,Metric Tonnes,1425.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),21-02-2021,45.0,Metric Tonnes,2800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,21-02-2021,8.0,Metric Tonnes,1650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-02-2021,4.0,Metric Tonnes,2600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),22-02-2021,15.0,Metric Tonnes,4693.33,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,22-02-2021,29.0,Metric Tonnes,1436.38,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,22-02-2021,37.0,Metric Tonnes,2179.73,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-02-2021,6.0,Metric Tonnes,2166.67,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),23-02-2021,15.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,23-02-2021,7.0,Metric Tonnes,3814.29,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-02-2021,4.0,Metric Tonnes,2500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),24-02-2021,15.0,Metric Tonnes,4850.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,24-02-2021,6.0,Metric Tonnes,4150.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-02-2021,9.0,Metric Tonnes,1916.67,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),25-02-2021,15.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,25-02-2021,24.0,Metric Tonnes,1427.08,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,25-02-2021,75.0,Metric Tonnes,1924.15,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-02-2021,2.0,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),26-02-2021,1.0,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,26-02-2021,1.0,Metric Tonnes,1500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-02-2021,4.0,Metric Tonnes,2650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),27-02-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,27-02-2021,6.0,Metric Tonnes,4250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-02-2021,5.0,Metric Tonnes,1470.6,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,28-02-2021,12.0,Metric Tonnes,1691.67,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-03-2021,7.0,Metric Tonnes,2114.29,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),01-03-2021,14.0,Metric Tonnes,4900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,01-03-2021,18.0,Metric Tonnes,1554.17,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,01-03-2021,32.0,Metric Tonnes,2235.63,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-03-2021,5.0,Metric Tonnes,2385.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),02-03-2021,14.0,Metric Tonnes,4900.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,02-03-2021,7.0,Metric Tonnes,3871.43,Rs./Quintal
