State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Tomato,16-03-2021,207.0,Metric Tonnes,699.28,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,19-03-2021,11.0,Metric Tonnes,1120.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,20-03-2021,59.0,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,21-03-2021,1733.0,Metric Tonnes,942.56,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,21-03-2021,439.0,Metric Tonnes,709.23,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,22-03-2021,1028.0,Metric Tonnes,900.63,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,22-03-2021,418.0,Metric Tonnes,747.97,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,23-03-2021,1847.0,Metric Tonnes,1033.38,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,23-03-2021,307.0,Metric Tonnes,655.86,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,24-03-2021,1581.0,Metric Tonnes,944.8,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,24-03-2021,303.0,Metric Tonnes,683.66,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,25-03-2021,881.0,Metric Tonnes,893.81,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,25-03-2021,254.0,Metric Tonnes,799.21,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,26-03-2021,866.0,Metric Tonnes,900.43,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,26-03-2021,332.0,Metric Tonnes,653.32,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,27-03-2021,42.0,Metric Tonnes,890.48,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,27-03-2021,141.0,Metric Tonnes,888.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,28-03-2021,1789.0,Metric Tonnes,1092.71,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,28-03-2021,328.0,Metric Tonnes,705.49,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,29-03-2021,301.0,Metric Tonnes,1025.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,29-03-2021,32.0,Metric Tonnes,1006.25,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,30-03-2021,1272.0,Metric Tonnes,899.73,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,30-03-2021,377.0,Metric Tonnes,1099.73,Rs./Quintal
